*	* |
giới	ZI ƠN_5 IC_5 |
liên	LI IÊN_0 NC_0 |
tên	TI ÊN_0 NC_0 |
vụ	VI UN_1 |
địa	DI IAN_1 |
nội	NI ÔN_1 IC_1 |
tiêu	TI IÊN_0 UC_0 |
cười	KI ƯƠN_4 IC_4 |
du	ZI UN_0 |
tác	TI AN1_5 KC_5 |
giả	ZI AN2_2 |
càng	KI AN1_4 NGC_4 |
bảy	BI AN3_2 YC_2 |
tất	TI ÂN_5 TC_5 |
thi	THI IN_0 |
hoàng	HI WO_4 AN1_4 NGC_4 |
chân	CHI ÂN_0 NC_0 |
tinh	TI IN_0 NGC_0 |
văn	VI AN3_0 NC_0 |
sử	SI ƯC_2 |
chẳng	CHI AN3_2 NGC_2 |
cứ	KI ƯC_5 |
cầu	KI ÂN_4 UC_4 |
dù	ZI UN_4 |
hiểu	HI IÊN_2 UC_2 |
sát	SI AN2_5 TC_5 |
rõ	RI ON2_3 |
xin	XI IN_0 NC_0 |
đưa	DI ƯƠN_0 |
nơi	NI ƠN_0 IC_0 |
hóa	HI WO_5 AN2_5 |
dùng	ZI UN_4 NGC_4 |
lòng	LI ON1_4 NGC_4 |
cuộc	KI UÔN_1 KC_1 |
tập	TI ÂN_1 PC_1 |
đất	DI ÂN_5 TC_5 |
hạ	HI AN2_1 |
tạo	TI AN2_1 UC_1 |
đông	DI ÔN_0 NGC_0 |
á	AN2_5 |
biến	BI IÊN_5 NC_5 |
luyện	LI WO_1 YÊN_1 NC_1 |
nhỏ	NHI ON2_2 |
tế	TI ÊN_5 |
quyết	KI WO_5 YÊN_5 TC_5 |
bước	BI ƯƠN_5 KC_5 |
vật	VI ÂN_1 TC_1 |
nghìn	NGI IN_4 NC_4 |
chết	CHI ÊN_5 TC_5 |
mẹ	MI EN_1 |
vi	VI IN_0 |
tăng	TI AN3_0 NGC_0 |
gặp	GI AN3_1 PC_1 |
nhanh	NHI AN1_0 NGC_0 |
lập	LI ÂN_1 PC_1 |
tiến	TI IÊN_5 NC_5 |
doanh	ZI WO_0 AN1_0 NGC_0 |
giống	ZI ÔN_5 NGC_5 |
chứ	CHI ƯC_5 |
tài	TI AN2_4 IC_4 |
sức	SI ƯN_5 KC_5 |
quân	KI WO_0 ÂN_0 NC_0 |
hệ	HI ÊN_1 |
ảnh	AN1_2 NGC_2 |
ờ	ƠC_4 |
đứng	DI ƯN_5 NGC_5 |
giao	ZI AN2_0 UC_0 |
triển	TRI IÊN_2 NC_2 |
án	AN2_5 NC_5 |
hoa	HI WO_0 AN2_0 |
sợ	SI ƠC_1 |
gọi	GI ON2_1 IC_1 |
vấn	VI ÂN_5 NC_5 |
báo	BI AN2_5 UC_5 |
đổi	DI ÔN_2 IC_2 |
vân	VI ÂN_0 NC_0 |
hà	HI AN2_4 |
long	LI ON1_0 NGC_0 |
mang	MI AN1_0 NGC_0 |
thị	THI IN_1 |
dự	ZI ƯC_1 |
bà	BI AN2_4 |
thích	THI IN_5 KC_5 |
chuyển	CHI WO_2 YÊN_2 NC_2 |
từng	TI ƯN_4 NGC_4 |
lâm	LI ÂN_0 MC_0 |
hạo	HI AN2_1 UC_1 |
mất	MI ÂN_5 TC_5 |
bệnh	BI ÊN_1 NGC_1 |
tục	TI UN_1 KC_1 |
tỉnh	TI IN_2 NGC_2 |
gần	GI ÂN_4 NC_4 |
loại	LI WO_1 AN2_1 IC_1 |
thêm	THI ÊN_0 MC_0 |
xong	XI ON1_0 NGC_0 |
lục	LI UN_1 KC_1 |
biệt	BI IÊN_1 TC_1 |
mỗi	MI ÔN_3 IC_3 |
chắc	CHI AN3_5 KC_5 |
đệ	DI ÊN_1 |
viện	VI IÊN_1 NC_1 |
chế	CHI ÊN_5 |
tích	TI IN_5 KC_5 |
đặc	DI AN3_1 KC_1 |
khu	KHI UN_0 |
tượng	TI ƯƠN_1 NGC_1 |
trận	TRI ÂN_1 NC_1 |
phục	PHI UN_1 KC_1 |
quy	KI UN_0 YC_0 |
tuổi	TI UÔN_2 IC_2 |
bàn	BI AN2_4 NC_4 |
cực	KI ƯN_1 KC_1 |
chi	CHI IN_0 |
trang	TRI AN1_0 NGC_0 |
vực	VI ƯN_1 KC_1 |
tuy	TI UN_0 YC_0 |
chất	CHI ÂN_5 TC_5 |
dạ	ZI AN2_1 |
bóng	BI ON1_5 NGC_5 |
chức	CHI ƯN_5 KC_5 |
phân	PHI ÂN_0 NC_0 |
trị	TRI IN_1 |
dung	ZI UN_0 NGC_0 |
hiệu	HI IÊN_1 UC_1 |
diễn	ZI IÊN_3 NC_3 |
truyền	TRI WO_4 YÊN_4 NC_4 |
phố	PHI ÔN_5 |
mở	MI ƠC_2 |
thái	THI AN2_5 IC_5 |
chung	CHI UN_0 NGC_0 |
ánh	AN1_5 NGC_5 |
sĩ	SI IN_3 |
phụ	PHI UN_1 |
tổ	TI ÔN_2 |
ạ	AN2_1 |
đơn	DI ƠN_0 NC_0 |
điện	DI IÊN_1 NC_1 |
xã	XI AN2_3 |
lâu	LI ÂN_0 UC_0 |
trời	TRI ƠN_4 IC_4 |
khỏi	KHI ON2_2 IC_2 |
dưới	ZI ƯƠN_5 IC_5 |
ban	BI AN2_0 NC_0 |
võ	VI ON2_3 |
thay	THI AN3_0 YC_0 |
đoạn	DI WO_1 AN2_1 NC_1 |
hướng	HI ƯƠN_5 NGC_5 |
chương	CHI ƯƠN_0 NGC_0 |
sơn	SI ƠN_0 NC_0 |
trưởng	TRI ƯƠN_2 NGC_2 |
sắc	SI AN3_5 KC_5 |
phẩm	PHI ÂN_2 MC_2 |
xa	XI AN2_0 |
đình	DI IN_4 NGC_4 |
đủ	DI UN_2 |
lắm	LI AN3_5 MC_5 |
khiến	KHI IÊN_5 NC_5 |
dài	ZI AN2_4 IC_4 |
hải	HI AN2_2 IC_2 |
tham	THI AN2_0 MC_0 |
vẻ	VI EN_2 |
bỏ	BI ON2_2 |
diện	ZI IÊN_1 NC_1 |
khách	KHI AN1_5 KC_5 |
giáo	ZI AN2_5 UC_5 |
màu	MI AN3_4 UC_4 |
nghĩa	NGI IAN_3 |
xe	XI EN_0 |
triệu	TRI IÊN_1 UC_1 |
giúp	ZI UN_5 PC_5 |
khoảng	KHI WO_2 AN1_2 NGC_2 |
nghệ	NGI ÊN_1 |
dẫn	ZI ÂN_3 NC_3 |
ca	KI AN2_0 |
phi	PHI IN_0 |
lai	LI AN2_0 IC_0 |
trả	TRI AN2_2 |
ít	IN_5 TC_5 |
lợi	LI ƠN_1 IC_1 |
tuyệt	TI WO_1 YÊN_1 TC_1 |
giữa	ZI ƯƠN_3 |
đời	DI ƠN_4 IC_4 |
đồ	DI ÔN_4 |
chỗ	CHI ÔN_3 |
ứng	ƯN_5 NGC_5 |
dịch	ZI IN_1 KC_1 |
cường	KI ƯƠN_4 NGC_4 |
trí	TRI IN_5 |
kiến	KI IÊN_5 NC_5 |
đáng	DI AN1_5 NGC_5 |
bay	BI AN3_0 YC_0 |
kim	KI IN_0 MC_0 |
kỹ	KI IN_3 |
chạy	CHI AN3_1 YC_1 |
chú	CHI UN_5 |
thiết	THI IÊN_5 TC_5 |
lẽ	LI EN_3 |
chọn	CHI ON2_1 NC_1 |
độc	DI ÔN_1 KC_1 |
trẻ	TRI EN_2 |
lưu	LI ƯN_0 UC_0 |
hoặc	HI WO_1 AN3_1 KC_1 |
giang	ZI AN1_0 NGC_0 |
quyền	KI WO_4 YÊN_4 NC_4 |
giác	ZI AN1_5 KC_5 |
đẹp	DI EN_1 PC_1 |
vận	VI ÂN_1 NC_1 |
cố	KI ÔN_5 |
cuối	KI UÔN_5 IC_5 |
nổi	NI ÔN_2 IC_2 |
quang	KI UÔN_0 NGC_0 |
bán	BI AN2_5 NC_5 |
phá	PHI AN2_5 |
hồi	HI ÔN_4 IC_4 |
khai	KHI AN2_0 IC_0 |
ma	MI AN2_0 |
đá	DI AN2_5 |
chịu	CHI IN_1 UC_1 |
cứu	KI ƯN_5 UC_5 |
dám	ZI AN2_5 MC_5 |
dương	ZI ƯƠN_0 NGC_0 |
âm	ÂN_0 MC_0 |
sở	SI ƠC_2 |
cây	KI ÂN_0 YC_0 |
quay	KI UÔN_0 YC_0 |
xác	XI AN1_5 KC_5 |
cửa	KI ƯƠN_2 |
cộng	KI ÔN_1 NGC_1 |
ngồi	NGI ÔN_4 IC_4 |
sang	SI AN1_0 NGC_0 |
hoạt	HI WO_1 AN2_1 TC_1 |
chia	CHI IAN_0 |
vòng	VI ON1_4 NGC_4 |
hơi	HI ƠN_0 IC_0 |
tu	TI UN_0 |
dựng	ZI ƯN_1 NGC_1 |
đoàn	DI WO_4 AN2_4 NC_4 |
tổng	TI ÔN_2 NGC_2 |
la	LI AN2_0 |
mạng	MI AN1_1 NGC_1 |
giữ	ZI ƯC_3 |
đột	DI ÔN_1 TC_1 |
yếu	YÊN_5 UC_5 |
dễ	ZI ÊN_3 |
tưởng	TI ƯƠN_2 NGC_2 |
vệ	VI ÊN_1 |
thống	THI ÔN_5 NGC_5 |
hữu	HI ƯN_3 UC_3 |
áo	AN2_5 UC_5 |
ngàn	NGI AN2_4 NC_4 |
cổ	KI ÔN_2 |
mưa	MI ƯƠN_0 |
tỷ	TI IN_2 |
tương	TI ƯƠN_0 NGC_0 |
so	SI ON2_0 |
chơi	CHI ƠN_0 IC_0 |
mặc	MI AN3_1 KC_1 |
đôi	DI ÔN_0 IC_0 |
hạn	HI AN2_1 NC_1 |
ngọc	NGI ON1_1 KC_1 |
coi	KI ON2_0 IC_0 |
lộ	LI ÔN_1 |
lăm	LI AN3_0 MC_0 |
nhi	NHI IN_0 |
xây	XI ÂN_0 YC_0 |
ô	ÔN_0 |
kích	KI IN_5 KC_5 |
mua	MI UÔN_0 |
nhiệm	NHI IÊN_1 MC_1 |
bố	BI ÔN_5 |
đan	DI AN2_0 NC_0 |
nhớ	NHI ƠC_5 |
cá	KI AN2_5 |
bạch	BI AN1_1 KC_1 |
hoắc	HI WO_5 AN3_5 KC_5 |
tra	TRI AN2_0 |
hãy	HI AN3_3 YC_3 |
thú	THI UN_5 |
thất	THI ÂN_5 TC_5 |
dụ	ZI UN_1 |
cạnh	KI AN1_1 NGC_1 |
phạm	PHI AN2_1 MC_1 |
vàng	VI AN1_4 NGC_4 |
khả	KHI AN2_2 |
tranh	TRI AN1_0 NGC_0 |
căn	KI AN3_0 NC_0 |
đạt	DI AN2_1 TC_1 |
sách	SI AN1_5 KC_5 |
cung	KI UN_0 NGC_0 |
hồng	HI ÔN_4 NGC_4 |
mức	MI ƯN_5 KC_5 |
thẳng	THI AN3_2 NGC_2 |
thuộc	THI UÔN_1 KC_1 |
biểu	BI IÊN_2 UC_2 |
lạnh	LI AN1_1 NGC_1 |
thắng	THI AN3_5 NGC_5 |
song	SI ON1_0 NGC_0 |
áp	AN2_5 PC_5 |
mỹ	MI IN_3 |
khắc	KHI AN3_5 KC_5 |
mời	MI ƠN_4 IC_4 |
to	TI ON2_0 |
suy	SI UN_0 YC_0 |
giết	ZI ÊN_5 TC_5 |
chuẩn	CHI WO_2 ÂN_2 NC_2 |
hộ	HI ÔN_1 |
đặt	DI AN3_1 TC_1 |
ngờ	NGI ƠC_4 |
tông	TI ÔN_0 NGC_0 |
nghị	NGI IN_1 |
ích	IN_5 KC_5 |
ty	TI IN_0 |
huynh	HI WO_0 IN_0 NGC_0 |
đừng	DI ƯN_4 NGC_4 |
bối	BI ÔN_5 IC_5 |
vọng	VI ON1_1 NGC_1 |
chuyên	CHI WO_0 YÊN_0 NC_0 |
hòa	HI WO_4 AN2_4 |
nhiêu	NHI IÊN_0 UC_0 |
mục	MI UN_1 KC_1 |
vui	VI UN_0 IC_0 |
danh	ZI AN1_0 NGC_0 |
vùng	VI UN_4 NGC_4 |
núi	NI UN_5 IC_5 |
gây	GI ÂN_0 YC_0 |
nghiệm	NGI IÊN_1 MC_1 |
thầy	THI ÂN_4 YC_4 |
bác	BI AN1_5 KC_5 |
nông	NI ÔN_0 NGC_0 |
kế	KI ÊN_5 |
luật	LI WO_1 ÂN_1 TC_1 |
chứng	CHI ƯN_5 NGC_5 |
đầy	DI ÂN_4 YC_4 |
luận	LI WO_1 ÂN_1 NC_1 |
trái	TRI AN2_5 IC_5 |
khăn	KHI AN3_0 NC_0 |
trừ	TRI ƯC_4 |
bê	BI ÊN_0 |
chào	CHI AN2_4 UC_4 |
lo	LI ON2_0 |
tam	TI AN2_0 MC_0 |
hưởng	HI ƯƠN_2 NGC_2 |
lan	LI AN2_0 NC_0 |
đô	DI ÔN_0 |
ví	VI IN_5 |
đêm	DI ÊN_0 MC_0 |
xử	XI ƯC_2 |
tầng	TI ÂN_4 NGC_4 |
kiện	KI IÊN_1 NC_1 |
biển	BI IÊN_2 NC_2 |
lạc	LI AN1_1 KC_1 |
kiểm	KI IÊN_2 MC_2 |
tôn	TI ÔN_0 NC_0 |
chưởng	CHI ƯƠN_2 NGC_2 |
thuật	THI WO_1 ÂN_1 TC_1 |
chiếc	CHI IÊN_5 KC_5 |
hát	HI AN2_5 TC_5 |
đáp	DI AN2_5 PC_5 |
tối	TI ÔN_5 IC_5 |
liệu	LI IÊN_1 UC_1 |
vốn	VI ÔN_5 NC_5 |
ràng	RI AN1_4 NGC_4 |
hổ	HI ÔN_2 |
nằm	NI AN3_4 MC_4 |
bé	BI EN_5 |
hậu	HI ÂN_1 UC_1 |
trợ	TRI ƠC_1 |
kể	KI ÊN_2 |
ó	ON2_5 |
máy	MI AN3_5 YC_5 |
sai	SI AN2_0 IC_0 |
nhập	NHI ÂN_1 PC_1 |
phủ	PHI UN_2 |
quản	KI UÔN_2 NC_2 |
đen	DI EN_0 NC_0 |
lao	LI AN2_0 UC_0 |
tiết	TI IÊN_5 TC_5 |
miệng	MI IÊN_1 NGC_1 |
nguyễn	NGI WO_3 YÊN_3 NC_3 |
chờ	CHI ƠC_4 |
ơn	ƠN_0 NC_0 |
mét	MI EN_5 TC_5 |
nha	NHI AN2_0 |
sâu	SI ÂN_0 UC_0 |
quanh	KI UÔN_0 NGC_0 |
niên	NI IÊN_0 NC_0 |
trực	TRI ƯN_1 KC_1 |
băng	BI AN3_0 NGC_0 |
xảy	XI AN3_2 YC_2 |
thưa	THI ƯƠN_0 |
trò	TRI ON2_4 |
giảm	ZI AN2_2 MC_2 |
gái	GI AN2_5 IC_5 |
phí	PHI IN_5 |
nắm	NI AN3_5 MC_5 |
lệ	LI ÊN_1 |
đảm	DI AN2_2 MC_2 |
máu	MI AN3_5 UC_5 |
bắc	BI AN3_5 KC_5 |
nguy	NGI UN_0 YC_0 |
mày	MI AN3_4 YC_4 |
huấn	HI WO_5 ÂN_5 NC_5 |
lịch	LI IN_1 KC_1 |
nhóm	NHI ON2_5 MC_5 |
ha	HI AN2_0 |
thủy	THI UN_2 YC_2 |
yên	YÊN_0 NC_0 |
sân	SI ÂN_0 NC_0 |
vài	VI AN2_4 IC_4 |
trạng	TRI AN1_1 NGC_1 |
chống	CHI ÔN_5 NGC_5 |
phó	PHI ON2_5 |
chồng	CHI ÔN_4 NGC_4 |
đàn	DI AN2_4 NC_4 |
c	KI |
thử	THI ƯC_2 |
nương	NI ƯƠN_0 NGC_0 |
đương	DI ƯƠN_0 NGC_0 |
hại	HI AN2_1 IC_1 |
chiều	CHI IÊN_4 UC_4 |
kéo	KI EN_5 UC_5 |
xê	XI ÊN_0 |
phóng	PHI ON1_5 NGC_5 |
quảng	KI UÔN_2 NGC_2 |
phản	PHI AN2_2 NC_2 |
đa	DI AN2_0 |
kêu	KI ÊN_0 UC_0 |
kẻ	KI EN_2 |
vai	VI AN2_0 IC_0 |
đào	DI AN2_4 UC_4 |
xét	XI EN_5 TC_5 |
lớp	LI ƠN_5 PC_5 |
trần	TRI ÂN_4 NC_4 |
vợ	VI ƠC_1 |
cánh	KI AN1_5 NGC_5 |
vâng	VI ÂN_0 NGC_0 |
thậm	THI ÂN_1 MC_1 |
cam	KI AN2_0 MC_0 |
đau	DI AN3_0 UC_0 |
nhật	NHI ÂN_1 TC_1 |
đao	DI AN2_0 UC_0 |
huyện	HI WO_1 YÊN_1 NC_1 |
mai	MI AN2_0 IC_0 |
giọng	ZI ON1_1 NGC_1 |
mẫu	MI ÂN_3 UC_3 |
sớm	SI ƠN_5 MC_5 |
tây	TI ÂN_0 YC_0 |
hiểm	HI IÊN_2 MC_2 |
châu	CHI ÂN_0 UC_0 |
di	ZI IN_0 |
tai	TI AN2_0 IC_0 |
địch	DI IN_1 KC_1 |
giai	ZI AN2_0 IC_0 |
thư	THI ƯC_0 |
quái	KI UÔN_5 IC_5 |
nghiêm	NGI IÊN_0 MC_0 |
kính	KI IN_5 NGC_5 |
chiêu	CHI IÊN_0 UC_0 |
nóng	NI ON1_5 NGC_5 |
đức	DI ƯN_5 KC_5 |
sơ	SI ƠC_0 |
món	MI ON2_5 NC_5 |
bí	BI IN_5 |
tướng	TI ƯƠN_5 NGC_5 |
riêng	RI IÊN_0 NGC_0 |
thạch	THI AN1_1 KC_1 |
ngành	NGI AN1_4 NGC_4 |
đám	DI AN2_5 MC_5 |
duy	ZI UN_0 YC_0 |
đảo	DI AN2_2 UC_2 |
chắn	CHI AN3_5 NC_5 |
